hash, user, site_admin, author_date, empty, forward_engineering, corrective_engineering, reengineering, uncategorized, management, empty_percent, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent, classification
ba1ed11c84b8709f82ce48715f55e6018c5c3a8d,kevinsimper,false,2014-10-11T20:07:43Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
00376e34e1f701dfea8b29b1d10ace0cba7fe959,jbr,false,2014-03-14T06:54:27Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
122d26f77e42322d526bca76582b9c4b158f7bb7,adamvduke,false,2014-02-17T16:29:42Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
28a428da6b4cedb1aa7fda01c91d8ca0aa11293a,Eliada,false,2017-10-06T23:51:12Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
e45c3d07ba85764ecee015ca7c13583683894fb4,maxgoedjen,false,2013-05-14T11:32:47Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
19d0e1d1e4b30d1ed2e1bf2d411a57809c29a3a1,Taytay,false,2015-03-18T00:31:01Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
8b0b8a9ba80e6d65df2e644b106c43d4b309d01f,mose,false,2017-10-14T14:57:00Z,0.0,0.0,0.0,0.0,20.0,46.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.696969696969697,Management
ee35970ec11ab41ef21d5e1072f82271aff9503c,pdehaan,false,2015-05-23T22:37:47Z,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Management
4b7aecf2e023594e97ddd467a5f0fde7e7da375c,stkent,false,2014-11-20T04:39:32Z,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,Management
6d53d65aa1939ed77f52ff8c82c81e85159ea134,wingrunr21,false,2013-10-22T14:18:24Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
ed6657ea725f07a80e5c6c81ae401bc1bdce5b77,jhubert,false,2013-08-13T03:33:54Z,0.0,14.0,0.0,7.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,Forward Engineering
f95415524085fe70350bf4702e1675cbf582547b,nwest,false,2013-08-08T14:02:46Z,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,Uncategorized
3bef62989dabfafe7915062bc020a9866fb3949e,aendrew,false,2013-12-12T10:16:43Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
149980a29f7ac5e69e6ff18f56f7330dea6bb35a,softarn,false,2014-06-03T11:28:45Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
472a29de658e97e2e86fdf472dfc4b2baae07adb,knomedia,false,2013-07-25T18:10:12Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
c7566736a24dbdbbf6721596fa81a92bd815c411,pauliwang,false,2015-05-21T06:09:44Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
f87d87e6e6df6cc40d2a60a57ae70fe63d9264f3,rileytg,false,2013-06-26T21:19:54Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
