id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1264,closed,MichaNice,false,null,false,2,0,null,null,null
1265,closed,MichaNice,false,null,false,2,0,null,null,null
1266,closed,MichaNice,false,null,false,2,0,null,null,null
1267,closed,MichaNice,false,null,false,2,0,null,null,null
1268,closed,vieuxcolon,false,null,false,0,0,null,null,null
127,closed,arttu,false,atmos,false,0,0,null,null,null
1272,closed,Hbrinj,false,bkeepers,false,147,0,null,null,null
1273,closed,WaleedAshraf,false,null,false,5,0,null,null,null
1274,closed,sqweelygig,false,null,false,0,0,null,null,null
1275,closed,sqweelygig,false,null,false,0,0,null,null,null
1276,closed,WaleedAshraf,false,null,false,1,0,null,null,null
128,closed,seancribbs,false,atmos,false,0,0,null,null,null
1286,closed,mose,false,bkeepers,false,111,0,null,null,null
1289,closed,makii42,false,bkeepers,false,116,0,null,null,null
129,closed,Mange,false,atmos,false,0,0,null,null,null
1290,closed,maxkoryukov,false,bkeepers,false,100,0,null,null,null
13,closed,atmos,false,atmos,false,0,2,0,0,0
1303,closed,sirtow,false,null,false,40,0,null,null,null
